video_id,filename,source_type,category,path,dataset_root,absolute_path,format,file_size_bytes,duration_seconds,fps,width,height,frame_count,metadata_ok,metadata_error
anomaly/Abuse/Abuse001_x264.mp4,Abuse001_x264.mp4,anomaly,Abuse,Abuse/Abuse001_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,21494969,90.967,30.0,320,240,2729,True,
anomaly/Abuse/Abuse002_x264.mp4,Abuse002_x264.mp4,anomaly,Abuse,Abuse/Abuse002_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,7253682,28.833,30.0,320,240,865,True,
anomaly/Abuse/Abuse003_x264.mp4,Abuse003_x264.mp4,anomaly,Abuse,Abuse/Abuse003_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,25939775,123.3,30.0,320,240,3699,True,
anomaly/Abuse/Abuse004_x264.mp4,Abuse004_x264.mp4,anomaly,Abuse,Abuse/Abuse004_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,64025784,559.8,30.0,318,240,16794,True,
anomaly/Abuse/Abuse005_x264.mp4,Abuse005_x264.mp4,anomaly,Abuse,Abuse/Abuse005_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,6250495,31.633,30.0,318,240,949,True,
anomaly/Abuse/Abuse006_x264.mp4,Abuse006_x264.mp4,anomaly,Abuse,Abuse/Abuse006_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,36586782,146.0,30.0,319,240,4380,True,
anomaly/Abuse/Abuse007_x264.mp4,Abuse007_x264.mp4,anomaly,Abuse,Abuse/Abuse007_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,8464924,38.333,30.0,320,240,1150,True,
anomaly/Abuse/Abuse008_x264.mp4,Abuse008_x264.mp4,anomaly,Abuse,Abuse/Abuse008_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,36024957,280.2,30.0,320,240,8406,True,
anomaly/Abuse/Abuse009_x264.mp4,Abuse009_x264.mp4,anomaly,Abuse,Abuse/Abuse009_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,8750168,33.367,30.0,320,240,1001,True,
anomaly/Abuse/Abuse010_x264.mp4,Abuse010_x264.mp4,anomaly,Abuse,Abuse/Abuse010_x264.mp4,/content/drive/MyDrive/Anomaly-Videos-Part-1/Anomaly-Videos-Part-1,,mp4,10078329,37.767,30.0,320,240,1133,True,
